BFS,95400,8
DFS,140700,8
BFS,51000,8
DFS,40500,8
BFS,76400,9
DFS,132200,9
BFS,78600,5
BFS,59500,5
DFS,56000,7
BFS,123000,3
BFS,40100,3
BFS,84100,3
BFS,53500,3
DFS,141600,7
BFS,118100,3
DFS,52200,7
BFS,98600,4
DFS,275300,4
DFS,125700,4
DFS,81300,2
DFS,34800,2
DFS,30400,2
DFS,27300,2
DFS,41100,2
DFS,128900,2
DFS,92700,2
DFS,28800,2
DFS,190500,5
DFS,87600,5
DFS,49500,5
DFS,59700,5
BFS,180500,3,2.00
DFS,355600,6,5.00
BFS,91700,0,0.00
BFS,46200,0,0.00
DFS,357200,0,0.00
BFS,75700,0,0.00
BFS,48100,0,0.00
BFS,92900,2,1.00
BFS,59500,0,0.00
BFS,53400,0,0.00
BFS,54600,0,0.00
BFS,47200,0,0.00
BFS,57600,0,0.00
DFS,51200,0,0.00
DFS,60600,0,0.00
BFS,40200,0,0.00
DFS,63300,0,0.00
BFS,54300,0,0.00
BFS,94100,2,1.00
BFS,79600,2,1.00
DFS,57800,2,1.00
BFS,390200,11,10.00
DFS,153800,11,10.00
BFS,83300,10,9.00
DFS,109200,10,9.00
BFS,219400,10,9.00
DFS,55500,10,9.00
BFS,63700,12,19.00
BFS,41400,12,19.00
DFS,47100,14,13.00
BFS,50000,12,19.00
DFS,45200,14,13.00
